"id";"name";"num_affil";"couleur1";"couleur2"
1;"RED STAR F.C.";500002;"#006400";""
2;"VITRY C.A.";500004;"#006400";"#FFD41C"
3;"CLICHY S/SEINE U.S.";500005;"#000000";"#dc143c"
4;"GARENNE COLOMBES A.F.";500009;"#006400";"#ffffff"
5;"CHARENTON C.A.P.";500012;"#dc143c";"#092669"
6;"JEANNE D  ARC ST SERVAN";500014;"#ffffff";"#092669"
7;"ST. RENNAIS F.C.";500015;"#dc143c";"#000000"
8;"ST. LAVALLOIS MAYENNE F.C.";500016;"#000000";""
9;"LA TOUR D  AUVERGNE RENNES";500018;"#000000";""
10;"A.S. BRESTOISE";500019;"#092669";""
11;"STADE BORDELAIS";500021;"#ffffff";"#000000"
12;"ST. BRESTOIS 29";500024;"";""
13;"PARIS UNIVERSITE CLUB";500025;"#4b0082";"#ffffff"
14;"U.S. ST MALO";500026;"";""
15;"A.S. CHEMINOTS RENNAIS";500029;"#ffffff";"#000000"
16;"CHOISY LE ROI A.S.";500031;"#092669";"#ffffff"
17;"CADETS DE BRETAGNE RENNES";500034;"#092669";"#ffffff"
18;"A.S. JACQUES CARTIER ST MALO";500036;"#092669";"#ffffff"
19;"F.C. DE ROUEN 1899";500037;"#dc143c";"#ffffff"
20;"ASNIERES F.C.";500038;"#dc143c";"#092669"
21;"U.S. LAVALLOISE";500040;"#092669";"#000000"
22;"LA MELLINET DE NANTES";500041;"#ffffff";"#000000"
23;"BORDEAUX ETUDIANTS C.";500042;"#dc143c";"#092669"
24;"C.ML FLOIRAC";500045;"#FFD41C";"#dc143c"
25;"S.A. SEZANNE";500046;"#FFD41C";"#092669"
26;"AM.S. VITRE";500048;"#dc143c";""
27;"LORIENT SP.";500049;"#dc143c";""
28;"BOULOGNE BILLANCOURT AC";500051;"#FF6A00 ";"#ffffff"
29;"LE HAVRE A.C.";500052;"";""
30;"LOSC LILLE ASSOCIATION";500054;"#dc143c";"#ffffff"
31;"C.A. MARSEILLE PHENIX VALENTINOIS";500055;"#dc143c";"#ffffff"
32;"U. S. LITTORAL DUNKERQUE";500056;"#092669";"#ffffff"
33;"SP.C. LA BASTIDIENNE";500057;"#dc143c";"#ffffff"
34;"A.S. TROUVILLE DEAUVILLE";500058;"#FFD41C";"#000000"
